id,config_id,symbol,direction,entry_price,exit_price,funding_rate,funding_pnl,price_pnl,fee_cost,total_pnl,total_pnl_pct,balance_after,open_time,close_time,trade_timestamp,exchange,close_reason,created_at,updated_at,price_pnl_pct,reconciled_at,entry_score,entry_score_breakdown
127,43,ESPUSDT,SHORT,0.16178714,0.16132000,0.000000,0.000000,0.258330,0.062576,0.195754,1.094818,37.837940,25/02/2026 08:00:06,25/02/2026 08:02:37,1772017357225,binance,trailing_stop,2026-02-25 11:02:37.225956+00:00,2026-02-25 11:02:37.225956+00:00,1.444795,2026-02-25 11:02:45.423581+00:00,,
128,44,STEEMUSDT,LONG,0.05740000,0.05745000,-0.170648,0.032132,0.016750,0.019237,0.029645,0.154007,20.291654,25/02/2026 07:59:57,25/02/2026 08:04:24,1772017464237,binance,funding,2026-02-25 11:04:24.237772+00:00,2026-02-25 11:04:24.237772+00:00,0.087018,2026-02-25 11:04:33.096774+00:00,,
129,45,AXLUSDT,LONG,0.06461000,0.06405000,-1.158834,0.276590,-0.197288,0.015835,0.063467,0.834058,24.093109,25/02/2026 08:59:53,25/02/2026 09:00:16,1772020816398,binance,funding,2026-02-25 12:00:16.398746+00:00,2026-02-25 12:00:16.398746+00:00,-2.592693,2026-02-25 12:00:26.620737+00:00,,
130,45,ENSOUSDT,LONG,2.69640000,2.67140000,-0.816252,0.186381,-0.210000,0.011325,-0.034944,-0.459219,24.052819,25/02/2026 08:59:49,25/02/2026 09:00:16,1772020816739,binance,exchange_sync,2026-02-25 12:00:16.739550+00:00,2026-02-25 12:00:16.739550+00:00,-2.759749,2026-02-25 12:00:28.166035+00:00,,
131,45,AXLUSDT,LONG,0.06461000,0.06411000,-1.158834,0.276590,-0.176150,0.004552,0.095887,1.260116,24.150855,25/02/2026 08:59:53,25/02/2026 09:00:17,1772020817405,binance,exchange_sync,2026-02-25 12:00:17.405740+00:00,2026-02-25 12:00:17.405740+00:00,-2.314904,2026-02-25 12:00:28.481499+00:00,,
132,44,STEEMUSDT,LONG,0.05845000,0.05864274,-0.225642,0.043901,0.063410,0.019262,0.088049,0.456755,20.379703,25/02/2026 08:59:53,25/02/2026 09:02:23,1772020943509,binance,trailing_stop,2026-02-25 12:02:23.510039+00:00,2026-02-25 12:02:23.510039+00:00,0.328940,2026-02-25 12:02:32.644852+00:00,,
133,57,STEEMUSDT,LONG,0.05796000,0.05862000,0.000000,0.000000,0.227700,0.020110,0.207590,2.075900,10.207590,25/02/2026 09:20:25,25/02/2026 09:28:18,1772022498853,binance,trailing_stop,2026-02-25 12:28:18.854173+00:00,2026-02-25 12:28:18.854173+00:00,2.277000,2026-02-25 12:28:27.364319+00:00,,
135,59,STEEMUSDT,LONG,0.05610000,0.05639751,0.000000,0.000000,0.276736,0.050230,0.226506,2.265060,10.226506,25/02/2026 09:49:45,25/02/2026 09:50:49,1772023849271,binance,trailing_stop,2026-02-25 12:50:49.271900+00:00,2026-02-25 12:50:49.271900+00:00,2.767362,2026-02-25 12:50:57.724031+00:00,,
136,44,STEEMUSDT,LONG,0.05590000,0.05731000,-0.135023,0.031683,0.473992,0.007834,0.497841,2.571395,20.877544,25/02/2026 09:59:52,25/02/2026 10:01:52,1772024512892,binance,trailing_stop,2026-02-25 13:01:52.892672+00:00,2026-02-25 13:01:52.892672+00:00,2.448213,2026-02-25 13:02:02.613539+00:00,,
137,45,POWERUSDT,LONG,0.87874000,0.87812000,-0.661884,0.158270,-0.016120,0.022839,0.119311,1.559866,24.273363,25/02/2026 11:59:49,25/02/2026 12:00:11,1772031611038,binance,funding,2026-02-25 15:00:11.039365+00:00,2026-02-25 15:00:11.039365+00:00,-0.210752,2026-02-25 15:00:19.626623+00:00,,
138,45,ENSOUSDT,LONG,1.99550000,1.95920000,-1.842257,0.432504,-0.421080,0.016119,-0.004695,-0.061085,24.268668,25/02/2026 12:59:50,25/02/2026 13:00:13,1772035213040,binance,funding,2026-02-25 16:00:13.041095+00:00,2026-02-25 16:00:13.041095+00:00,-5.478130,2026-02-25 16:00:22.347598+00:00,,
139,45,POWERUSDT,LONG,0.87400000,0.86447385,-0.733783,0.165664,-0.247680,0.022600,-0.104616,-1.361029,24.163262,25/02/2026 12:59:50,25/02/2026 13:00:16,1772035216303,binance,funding,2026-02-25 16:00:16.303539+00:00,2026-02-25 16:00:16.303539+00:00,-3.222246,2026-02-25 16:00:26.243426+00:00,,
140,45,AXLUSDT,LONG,0.06085000,0.06067000,-0.755786,0.163588,-0.068310,0.023058,0.072219,0.939555,24.252400,25/02/2026 12:59:54,25/02/2026 13:00:16,1772035216823,binance,funding,2026-02-25 16:00:16.823802+00:00,2026-02-25 16:00:16.823802+00:00,-0.888693,2026-02-25 16:00:26.833629+00:00,,
141,45,POWERUSDT,LONG,0.92358875,0.90786000,-1.482518,0.338331,-0.377490,0.015441,-0.054600,-0.711419,24.181671,25/02/2026 13:59:48,25/02/2026 14:00:53,1772038853195,binance,funding,2026-02-25 17:00:53.196103+00:00,2026-02-25 17:00:53.196103+00:00,-4.918552,2026-02-25 17:01:04.647385+00:00,,
142,44,ESPUSDT,LONG,0.15610000,0.15644000,-0.161867,0.014714,0.021420,0.006895,0.029239,0.294846,20.906783,25/02/2026 13:59:53,25/02/2026 14:04:13,1772039053760,binance,trailing_stop,2026-02-25 17:04:13.763064+00:00,2026-02-25 17:04:13.763064+00:00,0.215996,2026-02-25 17:04:22.516962+00:00,,
143,44,SKRUSDT,LONG,0.02335200,0.02329653,-0.111155,0.011115,-0.023630,0.006952,-0.019467,-0.196299,20.887317,25/02/2026 14:00:00,25/02/2026 14:19:55,1772039995983,binance,funding,2026-02-25 17:19:55.983349+00:00,2026-02-25 17:19:55.983349+00:00,-0.238282,2026-02-25 17:20:05.402733+00:00,,
147,45,POWERUSDT,LONG,0.90917000,0.91222000,-0.553639,0.129466,0.076250,0.022767,0.182949,2.389133,24.364620,25/02/2026 15:59:51,25/02/2026 16:26:58,1772047618042,binance,funding,2026-02-25 19:26:58.042440+00:00,2026-02-25 19:26:58.042440+00:00,0.995752,2026-02-25 19:27:05.545995+00:00,0.0,"{""apy"": 0, ""volume"": 0, ""interval"": 0, ""gross_apy"": 0, ""consistency"": 0}"
148,43,ESPUSDT,SHORT,0.15406000,0.15253000,0.000000,0.000000,0.595170,0.011986,0.583184,4.867163,38.421124,25/02/2026 16:00:10,25/02/2026 16:44:23,1772048663392,binance,exchange_sync,2026-02-25 19:44:23.392874+00:00,2026-02-25 19:44:23.392874+00:00,4.967195,2026-02-25 19:44:29.984377+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 1046.0, ""consistency"": 15.0}"
149,45,ENSOUSDT,LONG,1.92340000,1.88960000,-1.597956,0.366908,-0.405600,0.015954,-0.054646,-0.708262,24.309973,25/02/2026 16:59:51,25/02/2026 17:00:17,1772049617933,binance,funding,2026-02-25 20:00:17.937862+00:00,2026-02-25 20:00:17.937862+00:00,-5.256976,2026-02-25 20:00:24.570210+00:00,79.0,"{""apy"": 40.0, ""volume"": 18.9, ""interval"": 5.0, ""gross_apy"": 3499.5, ""consistency"": 15.0}"
150,45,POWERUSDT,LONG,0.91346000,0.91277000,-0.454849,0.103709,-0.017250,0.022828,0.063631,0.824719,24.383261,25/02/2026 16:59:50,25/02/2026 17:00:21,1772049621633,binance,funding,2026-02-25 20:00:21.633916+00:00,2026-02-25 20:00:21.633916+00:00,-0.223577,2026-02-25 20:00:28.648136+00:00,0.0,"{""apy"": 0, ""volume"": 0, ""interval"": 0, ""gross_apy"": 0, ""consistency"": 0}"
151,43,ESPUSDT,SHORT,0.15406000,0.15027000,0.000000,0.000000,0.178180,0.034677,0.143503,1.197656,38.564627,25/02/2026 16:00:10,25/02/2026 17:09:33,1772050173751,binance,trailing_stop,2026-02-25 20:09:33.751547+00:00,2026-02-25 20:09:33.751547+00:00,1.487062,2026-02-25 20:09:41.025829+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 972.5, ""consistency"": 15.0}"
152,43,BULLAUSDT,LONG,0.01790000,0.01817237,0.000000,0.000000,0.693730,0.032261,0.661469,7.248964,39.226096,25/02/2026 17:00:07,25/02/2026 17:11:04,1772050264651,binance,trailing_stop,2026-02-25 20:11:04.651275+00:00,2026-02-25 20:11:04.651275+00:00,7.602506,2026-02-25 20:11:12.120884+00:00,81.0,"{""apy"": 35.7, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 171.3, ""consistency"": 15.0}"
153,43,AZTECUSDT,SHORT,0.02734000,0.02710000,0.000000,-0.002696,0.398880,0.022720,0.373465,4.092755,39.599562,25/02/2026 17:00:13,25/02/2026 18:00:17,1772053217014,binance,trailing_stop,2026-02-25 21:00:17.015010+00:00,2026-02-25 21:00:17.015010+00:00,4.371280,2026-02-25 21:00:23.623142+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 209.7, ""consistency"": 15.0}"
154,43,POWERUSDT,SHORT,0.90945000,0.90121000,0.000000,0.000000,0.420240,0.046172,0.374068,3.977377,39.973629,25/02/2026 20:00:09,25/02/2026 20:34:26,1772062466556,binance,trailing_stop,2026-02-25 23:34:26.557079+00:00,2026-02-25 23:34:26.557079+00:00,4.468311,2026-02-25 23:34:33.248363+00:00,85.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 10.0, ""gross_apy"": 2416.8, ""consistency"": 15.0}"
155,45,GPSUSDT,LONG,0.00964000,0.00964200,-0.418946,0.097007,0.004808,0.023177,0.078638,1.018851,24.452241,25/02/2026 20:59:55,25/02/2026 21:00:17,1772064017609,binance,take_profit_target,2026-02-26 00:00:17.610241+00:00,2026-02-26 00:00:17.610241+00:00,0.062293,2026-02-26 00:00:25.523171+00:00,80.0,"{""apy"": 40.0, ""volume"": 20.0, ""interval"": 5.0, ""gross_apy"": 917.5, ""consistency"": 15.0}"
156,45,ENSOUSDT,LONG,1.86950000,1.86860000,-1.809055,0.418885,-0.011070,0.022989,0.384826,4.985882,24.850983,25/02/2026 20:59:55,25/02/2026 21:00:18,1772064018240,binance,take_profit_target,2026-02-26 00:00:18.241017+00:00,2026-02-26 00:00:18.241017+00:00,-0.143425,2026-02-26 00:00:25.691938+00:00,79.0,"{""apy"": 40.0, ""volume"": 19.0, ""interval"": 5.0, ""gross_apy"": 3961.8, ""consistency"": 15.0}"
