id,config_id,log_level,event,symbol,direction,exchange,message,details,created_at
499,43,INFO,break_even_activated,AZTECUSDT,SHORT,binance,Break-Even ativado em AZTECUSDT: lucro 0.9472% >= 0.5% | SL movido para entrada @ 0.026370,"{""entry_price"": 0.02637, ""price_pnl_pct"": 0.9471750664179516, ""break_even_at_pct"": 0.5}",2026-02-26 03:07:11.451940+00:00
500,43,INFO,break_even_activated,ESPUSDT,SHORT,binance,Break-Even ativado em ESPUSDT: lucro 4.5130% >= 0.5% | SL movido para entrada @ 0.143640,"{""entry_price"": 0.14364, ""price_pnl_pct"": 4.512958781574505, ""break_even_at_pct"": 0.5}",2026-02-26 03:07:11.456058+00:00
501,43,INFO,break_even_activated,SKRUSDT,SHORT,binance,Break-Even ativado em SKRUSDT: lucro 5.5072% >= 0.5% | SL movido para entrada @ 0.021928,"{""entry_price"": 0.0219283, ""price_pnl_pct"": 5.5072222543954155, ""break_even_at_pct"": 0.5}",2026-02-26 03:07:11.456450+00:00
502,43,INFO,close_attempt,AZTECUSDT,SHORT,binance,Fechando AZTECUSDT @ ~0.0264 | motivo: break_even_stop,"{""size"": 1075.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""break_even_stop"", ""current_price"": 0.02637, ""side_to_close"": ""buy""}",2026-02-26 03:09:22.187721+00:00
503,43,INFO,close_success,AZTECUSDT,SHORT,binance,Posição fechada: AZTECUSDT @ 0.0264,"{""order_id"": ""111356891"", ""exit_price"": 0.02637, ""close_reason"": ""break_even_stop""}",2026-02-26 03:09:24.797432+00:00
504,43,INFO,break_even_activated,STEEMUSDT,SHORT,binance,Break-Even ativado em STEEMUSDT: lucro 1.1842% >= 0.5% | SL movido para entrada @ 0.062920,"{""entry_price"": 0.06292, ""price_pnl_pct"": 1.1841891062936447, ""break_even_at_pct"": 0.5}",2026-02-26 03:10:11.899339+00:00
505,43,INFO,close_attempt,STEEMUSDT,SHORT,binance,Fechando STEEMUSDT @ ~0.0629 | motivo: break_even_stop,"{""size"": 448.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""break_even_stop"", ""current_price"": 0.06292, ""side_to_close"": ""buy""}",2026-02-26 03:10:39.743252+00:00
506,43,INFO,close_success,STEEMUSDT,SHORT,binance,Posição fechada: STEEMUSDT @ 0.0630,"{""order_id"": ""2148346408"", ""exit_price"": 0.06302, ""close_reason"": ""break_even_stop""}",2026-02-26 03:10:42.353449+00:00
507,43,INFO,trailing_armed,ESPUSDT,SHORT,binance,Trailing armado em ESPUSDT: variação de preço 1.3506% (gatilho 1.3000%) @ 0.141700,"{""entry_price"": 0.14364, ""current_price"": 0.1417, ""price_change_pct"": 1.35059871901977, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 03:14:06.405584+00:00
508,43,INFO,close_attempt,POWERUSDT,SHORT,binance,Fechando POWERUSDT @ ~0.8762 | motivo: break_even_stop,"{""size"": 32.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""break_even_stop"", ""current_price"": 0.87623, ""side_to_close"": ""buy""}",2026-02-26 03:16:34.795505+00:00
509,43,INFO,trailing_armed,ESPUSDT,SHORT,binance,Trailing armado em ESPUSDT: variação de preço 1.3228% (gatilho 1.3000%) @ 0.141740,"{""entry_price"": 0.14364, ""current_price"": 0.14174, ""price_change_pct"": 1.3227513227513124, ""trailing_stop_pct"": 0.7, ""trailing_start_profit_pct"": 1.3}",2026-02-26 03:40:13.368358+00:00
510,43,INFO,close_attempt,ESPUSDT,SHORT,binance,Fechando ESPUSDT @ ~0.1421 | motivo: trailing_stop,"{""size"": 197.0, ""fee_type"": ""maker"", ""hedge_mode"": true, ""close_reason"": ""trailing_stop"", ""current_price"": 0.14208, ""side_to_close"": ""buy""}",2026-02-26 03:46:53.920988+00:00
511,43,INFO,close_success,ESPUSDT,SHORT,binance,Posição fechada: ESPUSDT @ 0.1421,"{""order_id"": ""321637788"", ""exit_price"": 0.14211, ""close_reason"": ""trailing_stop""}",2026-02-26 03:47:00.945149+00:00
512,45,INFO,open_attempt,API3USDT,LONG,binance,Tentando abrir LONG 74.8 API3USDT @ ~0.3162,"{""side"": ""buy"", ""size"": 74.8, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""API3/USDT:USDT"", ""entry_price"": 0.3162, ""funding_rate"": -0.00381945, ""trigger_type"": ""auto"", ""position_value"": 23.6523, ""funding_rate_pct"": -0.381945}",2026-02-26 03:59:53.732767+00:00
513,45,INFO,open_attempt,WETUSDT,LONG,binance,Tentando abrir LONG 251.0 WETUSDT @ ~0.09406,"{""side"": ""buy"", ""size"": 251.0, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""WET/USDT:USDT"", ""entry_price"": 0.09406, ""funding_rate"": -0.00494367, ""trigger_type"": ""auto"", ""position_value"": 23.6523, ""funding_rate_pct"": -0.494367}",2026-02-26 03:59:53.756730+00:00
514,45,INFO,open_attempt,ENSOUSDT,LONG,binance,Tentando abrir LONG 13.6 ENSOUSDT @ ~1.7333,"{""side"": ""buy"", ""size"": 13.6, ""fee_type"": ""maker"", ""leverage"": 3, ""hedge_mode"": true, ""ccxt_symbol"": ""ENSO/USDT:USDT"", ""entry_price"": 1.7333, ""funding_rate"": -0.02, ""trigger_type"": ""auto"", ""position_value"": 23.6523, ""funding_rate_pct"": -2.0}",2026-02-26 03:59:53.789334+00:00
515,45,INFO,open_success,WETUSDT,LONG,binance,Posição aberta: LONG 251.0 WETUSDT @ 0.0929118,"{""size"": 251.0, ""order_id"": ""485390039"", ""open_time"": ""26/02/2026 00:59:56"", ""actual_entry"": 0.0929118, ""trigger_type"": ""auto"", ""position_value"": 23.6523, ""funding_rate_pct"": -0.494367}",2026-02-26 03:59:56.372939+00:00
516,45,INFO,open_success,ENSOUSDT,LONG,binance,Posição aberta: LONG 13.6 ENSOUSDT @ 1.7401,"{""size"": 13.6, ""order_id"": ""1308968530"", ""open_time"": ""26/02/2026 00:59:57"", ""actual_entry"": 1.7401, ""trigger_type"": ""auto"", ""position_value"": 23.6523, ""funding_rate_pct"": -2.0}",2026-02-26 03:59:57.407109+00:00
517,45,INFO,open_success,API3USDT,LONG,binance,Posição aberta: LONG 74.8 API3USDT @ 0.313,"{""size"": 74.8, ""order_id"": ""6509663644"", ""open_time"": ""26/02/2026 00:59:59"", ""actual_entry"": 0.313, ""trigger_type"": ""auto"", ""position_value"": 23.6523, ""funding_rate_pct"": -0.381945}",2026-02-26 03:59:59.479530+00:00
